label,label_name,new_device,unusual_location,impossible_travel,used_vpn,credentials_breached,failed_logins,beneficiary_age_min,amount,amount_fraction
0,legit,0,0,0,1,1,0,210.43,157.57,0.0026
1,fraud,1,1,1,0,0,0,5338.76,130664.9,0.7721
0,legit,0,0,1,0,0,0,1957.71,18416.31,0.1648
1,fraud,1,1,0,1,0,0,17.71,92616.16,0.7862
0,legit,0,0,0,1,0,0,27233.88,16466.02,0.1159
1,fraud,1,1,1,1,0,3,33.5,28910.52,0.1863
0,legit,0,0,0,1,0,0,110.97,2358.62,0.0429
1,fraud,1,1,0,1,0,2,231.69,5281.7,0.0722
0,legit,0,0,0,0,0,0,45.96,4296.05,0.0935
1,fraud,1,1,0,0,1,2,29.71,14207.03,0.2558
0,legit,0,0,0,0,0,0,24841.21,25096.64,0.3073
1,fraud,1,1,0,0,1,1,12.64,139542.19,0.83
0,legit,0,0,0,0,0,0,957.16,80667.16,0.4681
1,fraud,1,1,0,0,1,1,13.62,109040.07,0.6365
0,legit,0,0,0,0,1,0,27092.41,10621.96,0.1057
1,fraud,1,1,0,0,0,0,5127.77,27204.84,0.5712
0,legit,0,0,0,0,0,1,38010.84,72408.38,0.3663
1,fraud,1,1,1,0,0,1,48.76,138191.15,0.9355
0,legit,0,0,0,0,0,0,37377.13,1300.58,0.0214
1,fraud,1,1,0,0,1,1,44.47,102565.45,0.6361
0,legit,0,1,0,0,0,0,9020.4,15093.1,0.1309
1,fraud,1,0,1,0,1,2,11.28,58583.12,0.5352
0,legit,0,0,0,0,0,0,970.94,709.8,0.0062
1,fraud,1,1,1,0,1,1,5721.12,45802.91,0.9325
0,legit,1,0,0,0,0,0,6323.72,8066.73,0.209
1,fraud,1,1,0,1,0,0,1764.6,40076.76,0.2616
0,legit,0,0,0,0,0,2,4000.06,12424.71,0.0976
1,fraud,1,1,1,1,1,2,115.13,14290.76,0.5695
0,legit,0,0,0,0,0,0,1412.3,3948.2,0.0258
1,fraud,1,1,1,1,1,2,947.57,85335.31,0.623
0,legit,1,0,0,0,0,0,11151.41,2558.7,0.0811
1,fraud,1,1,0,1,0,2,655.72,100283.67,0.6487
0,legit,0,0,0,0,0,0,40306.5,2958.48,0.1116
1,fraud,1,1,1,1,1,1,61.37,35860.01,0.7298
0,legit,0,0,0,1,0,0,7559.8,16995.82,0.0864
1,fraud,0,1,0,1,1,1,55.88,6784.59,0.1448
0,legit,0,0,0,0,0,0,23714.26,9107.65,0.0645
1,fraud,1,0,1,0,0,0,40.48,24958.98,0.8104
0,legit,0,0,0,0,0,0,960.41,2870.84,0.0274
1,fraud,1,1,0,1,0,0,25.15,76403.09,0.9746
0,legit,0,0,0,1,0,0,7997.38,357.93,0.0162
1,fraud,1,0,1,0,1,1,17.08,84021.15,0.6815
0,legit,0,0,0,0,0,0,1031.37,20545.31,0.1157
1,fraud,1,1,1,1,1,1,36.66,20681.83,0.1274
0,legit,0,0,0,0,0,1,36068.27,12274.35,0.0967
1,fraud,1,0,0,1,1,2,53.37,89142.89,0.5672
0,legit,0,0,0,0,0,0,683.17,11215.2,0.0914
1,fraud,1,0,0,1,0,0,13.88,152104.07,0.7707
0,legit,1,0,0,0,0,0,32739.75,13200.29,0.0675
1,fraud,0,1,0,1,1,2,743.84,69408.69,0.5293
0,legit,0,0,0,0,0,0,18549.12,8542.54,0.1619
1,fraud,1,0,0,0,0,2,36.7,69091.23,0.5332
0,legit,1,0,0,0,0,0,24274.93,123578.67,0.6664
1,fraud,0,0,0,1,1,0,10.28,186907.49,0.9756
0,legit,0,0,0,0,0,0,434.93,4799.97,0.0728
1,fraud,1,1,1,0,1,0,20.01,40947.39,0.5143
0,legit,0,0,0,0,0,0,142.03,2771.12,0.0999
1,fraud,1,1,0,1,1,0,1715.03,142020.62,0.841
0,legit,0,0,0,1,0,0,9213.15,2212.79,0.0278
1,fraud,0,1,0,0,1,1,1013.09,16641.59,0.446
0,legit,0,0,0,0,0,0,37646.15,7233.83,0.0845
1,fraud,0,1,0,1,1,0,1252.42,23676.2,0.517
0,legit,1,0,0,0,0,0,7883.72,22768.76,0.1213
1,fraud,0,1,0,1,1,0,5.81,72842.25,0.8744
0,legit,0,0,0,0,1,0,12892.49,42808.75,0.2577
1,fraud,1,0,0,1,1,1,6.82,56483.34,0.4986
0,legit,1,0,0,0,0,0,39824.12,13792.63,0.1864
1,fraud,1,0,0,1,0,1,29.39,2013.27,0.0754
0,legit,0,0,0,1,0,0,15583.93,5410.96,0.0886
1,fraud,0,1,0,0,1,1,1191.34,63604.17,0.5943
0,legit,1,0,0,0,1,0,905.19,17404.8,0.1817
1,fraud,1,1,0,1,1,3,745.83,102594.69,0.9655
0,legit,0,0,0,0,1,0,26480.09,22187.28,0.6748
1,fraud,1,1,1,1,0,0,18.74,18342.44,0.8246
0,legit,0,0,0,0,0,0,40867.52,1060.08,0.0153
1,fraud,1,1,0,0,1,1,49.32,33944.72,0.7018
0,legit,0,0,0,0,0,0,3057.06,266.82,0.0034
1,fraud,1,1,0,0,1,0,883.08,62575.85,0.8164
0,legit,0,0,0,0,1,0,22622.7,13013.82,0.135
1,fraud,1,0,1,0,0,1,41.15,18988.95,0.1598
0,legit,0,0,0,0,1,0,108.15,3845.71,0.0966
1,fraud,1,0,0,0,0,2,407.36,88339.27,0.7953
0,legit,1,0,0,0,0,0,82.99,75607.33,0.4369
1,fraud,1,1,1,1,1,2,4989.37,120135.2,0.9908
0,legit,0,1,0,0,0,0,12466.05,2593.06,0.0482
1,fraud,0,1,0,0,1,2,831.75,20068.05,0.9945
0,legit,0,0,0,1,0,0,10.17,2151.83,0.0299
1,fraud,1,1,1,0,1,1,625.11,107058.33,0.896
0,legit,0,0,0,0,0,0,30671.21,38290.34,0.2471
1,fraud,1,1,0,1,0,1,49.0,94693.22,0.6352
0,legit,0,0,0,1,0,0,22176.3,21968.58,0.1325
1,fraud,0,1,0,0,0,2,297.6,83936.5,0.7125
0,legit,0,0,0,0,0,0,36418.9,8170.44,0.0762
1,fraud,1,1,0,0,1,1,18.28,167660.32,0.9315
0,legit,0,0,0,0,0,0,1243.77,5940.5,0.0497
1,fraud,1,0,0,0,1,1,755.43,179887.85,0.984
0,legit,0,0,0,0,0,0,14262.49,10438.67,0.1041
1,fraud,1,1,0,1,0,2,43.38,27267.55,0.1476
0,legit,0,0,0,0,0,0,3294.03,130354.51,0.6531
1,fraud,0,1,1,1,1,0,1457.29,23774.56,0.5194
0,legit,0,0,0,0,0,0,526.64,2611.79,0.0536
1,fraud,1,1,0,0,0,1,4344.94,62938.16,0.4638
0,legit,0,0,0,0,1,0,35037.84,14055.87,0.121
1,fraud,1,1,1,0,1,0,51.56,43049.22,0.5855
0,legit,0,0,0,0,0,0,10321.3,104922.96,0.5718
1,fraud,1,1,1,1,1,1,36.69,64116.43,0.8744
0,legit,0,0,0,0,1,0,19217.75,19038.38,0.1768
1,fraud,1,0,0,1,1,1,32.6,90048.78,0.5796
0,legit,1,1,0,0,0,0,88.06,5365.85,0.1128
1,fraud,1,1,0,0,0,2,5035.82,42961.33,0.2837
0,legit,0,0,0,0,0,0,1385.14,4599.14,0.071
1,fraud,0,0,0,0,1,3,43.51,85982.79,0.5267
0,legit,0,0,0,1,0,0,446.13,3537.56,0.0631
1,fraud,1,0,0,1,1,0,2153.14,89642.66,0.453
0,legit,0,1,0,0,0,0,1353.45,7966.58,0.0413
1,fraud,1,1,0,1,0,3,50.18,134353.24,0.7149
0,legit,0,0,0,0,0,0,2412.63,3134.12,0.0658
1,fraud,1,0,1,1,1,0,10.77,18892.76,0.7997
0,legit,0,0,0,0,0,0,19433.75,579.82,0.0064
1,fraud,1,0,0,0,1,0,812.08,66077.81,0.9614
0,legit,0,0,0,0,0,0,30070.33,1691.31,0.0622
1,fraud,1,1,0,0,0,1,1033.52,40919.07,0.6544
0,legit,0,0,0,0,0,0,30932.75,4229.73,0.122
1,fraud,1,1,0,1,1,0,704.52,40487.45,0.4669
0,legit,1,0,0,1,0,0,31401.86,12501.95,0.0677
1,fraud,0,1,0,0,0,0,39.83,107750.45,0.9548
0,legit,0,0,0,1,0,0,1015.17,4343.11,0.0376
1,fraud,1,0,0,0,1,1,3109.14,64909.08,0.7112
0,legit,0,0,0,0,0,0,298.99,16649.54,0.1378
1,fraud,1,0,0,0,1,0,15.89,57065.85,0.6986
0,legit,1,1,0,0,0,0,302.45,15221.5,0.4181
1,fraud,1,0,0,0,1,1,5530.68,23030.97,0.5893
0,legit,1,0,0,0,1,0,19484.1,16396.65,0.358
1,fraud,1,1,1,1,1,0,39.14,26746.16,0.7487
0,legit,0,0,0,0,0,2,1410.67,14063.0,0.1463
1,fraud,1,1,1,1,1,0,552.82,125328.34,0.723
0,legit,0,0,0,0,0,0,40267.12,4066.31,0.1466
1,fraud,1,1,1,0,1,0,54.15,34794.99,0.213
0,legit,0,0,0,0,0,0,6619.07,18474.13,0.2037
1,fraud,1,0,1,0,1,2,15.66,39352.43,0.62
0,legit,0,0,0,0,0,0,422.33,79.52,0.0004
1,fraud,0,1,1,0,1,2,41.74,116854.62,0.6357
0,legit,0,0,0,1,0,0,7964.63,12538.71,0.124
1,fraud,1,1,0,0,1,1,10.77,34413.36,0.9016
0,legit,0,0,0,0,0,0,425.21,27248.16,0.1966
1,fraud,0,1,0,0,0,1,49.68,136634.84,0.8607
0,legit,0,0,0,0,0,1,1277.39,32255.7,0.361
1,fraud,1,1,0,0,0,1,30.67,78375.92,0.7018
0,legit,0,0,0,0,0,0,21251.61,1703.83,0.0258
1,fraud,1,1,1,1,1,1,68.73,122969.88,0.6706
0,legit,0,0,0,0,0,0,2250.4,20552.12,0.2216
1,fraud,0,1,0,1,0,1,1420.48,31873.05,0.2314
0,legit,1,0,0,0,0,0,4346.96,10493.49,0.0965
1,fraud,1,0,1,1,1,2,6.23,4350.91,0.0765
0,legit,0,0,0,0,1,0,30641.55,14943.45,0.1775
1,fraud,1,1,0,1,0,1,0.94,42591.72,0.531
0,legit,0,0,0,0,0,1,32021.62,17590.14,0.1105
1,fraud,1,0,0,0,0,2,30.58,136211.39,0.9127
0,legit,1,0,0,0,0,0,36776.54,1739.39,0.0532
1,fraud,0,1,0,0,1,2,766.31,23864.92,0.2483
0,legit,0,0,0,0,0,0,18342.29,34921.05,0.2005
1,fraud,1,1,0,1,0,0,2374.8,89657.33,0.4506
0,legit,1,1,0,0,0,0,23699.78,19284.82,0.1341
1,fraud,0,1,1,1,1,0,4150.57,63100.98,0.5552
0,legit,0,1,0,0,0,0,35860.22,4676.41,0.0392
1,fraud,1,1,1,0,0,2,56.39,29087.97,0.9042
0,legit,1,1,0,0,0,0,25182.52,298.21,0.0048
1,fraud,1,0,0,0,1,0,131.69,175465.79,0.9713
0,legit,0,0,0,0,0,0,1072.5,531.69,0.0129
1,fraud,1,1,1,1,1,0,294.18,140897.37,0.9378
0,legit,1,0,0,0,0,0,437.03,410.14,0.0086
1,fraud,1,0,0,0,1,1,45.42,42412.91,0.8788
0,legit,0,1,0,0,0,1,37980.97,5615.03,0.1136
1,fraud,1,1,1,0,1,0,30.69,57528.76,0.7682
0,legit,0,0,0,0,0,0,14307.38,81839.78,0.4488
1,fraud,1,1,0,1,1,0,18.95,13780.67,0.0774
0,legit,0,0,0,0,1,0,941.08,4831.72,0.0348
1,fraud,1,1,1,0,1,1,58.16,25707.46,0.4993
0,legit,0,0,0,0,0,0,22138.51,35441.21,0.2572
1,fraud,1,0,0,0,0,0,2650.47,91484.3,0.573
0,legit,0,0,0,0,0,0,21439.63,66237.85,0.6082
1,fraud,1,1,0,1,1,0,11.34,117631.13,0.7534
0,legit,0,0,0,1,0,0,33310.69,7129.45,0.1111
1,fraud,1,0,0,0,0,1,33.09,125758.99,0.7924
0,legit,0,0,0,0,0,0,3472.35,12600.71,0.4974
1,fraud,1,1,0,1,0,0,41.03,11166.04,0.5502
0,legit,0,0,0,1,0,2,12892.2,19667.44,0.1182
1,fraud,1,1,0,0,1,2,21.92,154244.68,0.8928
0,legit,1,0,0,0,0,0,967.87,19503.74,0.1231
1,fraud,1,0,1,1,0,0,58.68,58827.74,0.5989
0,legit,0,0,0,0,0,0,37234.94,585.87,0.0099
1,fraud,0,1,0,1,1,0,33.0,53126.45,0.5292
0,legit,0,0,0,1,0,0,9589.18,12452.45,0.1839
1,fraud,1,1,0,1,1,1,13.33,38400.7,0.6843
0,legit,1,0,0,0,0,0,36702.71,31151.85,0.1894
1,fraud,0,0,1,0,1,1,3404.6,22549.76,0.6451
0,legit,0,0,0,0,0,0,13184.83,31554.47,0.2273
1,fraud,1,1,0,0,1,2,1435.74,55505.98,0.6718
0,legit,0,0,0,0,0,0,29360.13,4645.93,0.0505
1,fraud,1,0,1,1,1,0,5.28,58973.62,0.6078
0,legit,0,0,0,0,0,0,26093.82,15092.89,0.1357
1,fraud,1,1,0,1,1,2,36.35,89084.97,0.9497
0,legit,0,0,0,0,0,0,28097.08,6857.69,0.1189
1,fraud,1,1,1,1,1,2,11.88,79546.15,0.6895
0,legit,0,0,0,0,1,1,22476.86,649.05,0.0035
1,fraud,1,1,0,1,0,1,0.36,44671.06,0.445
0,legit,0,1,0,0,0,2,843.05,82968.11,0.4276
